Model,Displ,Cyl,Drive,Veh.Class,Air.Pollution.Score,City.MPG,Hwy.MPG,Greenhouse.Gas.Score,Comb.CO2
JAGUAR F-Type P450 R-Dynamic Coupe,5,8,4WD,small car,3,16,24,3,481
JAGUAR F-Type R Convertible,5,8,4WD,small car,3,16,24,3,481
JAGUAR F-Type R Coupe,5,8,4WD,small car,3,16,24,3,481
JAGUAR XF P250,2,4,2WD,midsize car,7,25,33,6,317
JAGUAR XF P250,2,4,4WD,midsize car,7,23,32,5,336
JAGUAR XF P300,2,4,4WD,midsize car,7,22,30,5,352
JEEP Cherokee,2,4,2WD,small SUV,5,23,31,5,345
JEEP Cherokee,2,4,4WD,small SUV,5,21,29,5,369
JEEP Cherokee,2.4,4,2WD,small SUV,6,22,31,5,352
JEEP Cherokee,2.4,4,4WD,small SUV,6,21,29,5,370
JEEP Cherokee,3.2,6,2WD,small SUV,5,20,29,5,387
JEEP Cherokee,3.2,6,4WD,small SUV,5,19,27,5,400
JEEP Cherokee Trailhawk,3.2,6,4WD,small SUV,5,18,24,4,432
JEEP Compass,2.4,4,2WD,small SUV,6,22,31,5,350
JEEP Compass,2.4,4,4WD,small SUV,6,22,30,5,358
JEEP Gladiator,3.6,6,4WD,pickup,7,17,22,4,466
JEEP Gladiator,3.6,6,4WD,pickup,5,16,23,4,476
JEEP Grand Cherokee,3.6,6,2WD,standard SUV,7,19,26,5,407
JEEP Grand Cherokee,3.6,6,4WD,standard SUV,7,19,26,5,413
JEEP Grand Cherokee,5.7,8,4WD,standard SUV,5,14,22,3,533
JEEP Grand Cherokee L,3.6,6,2WD,standard SUV,7,19,26,4,416
JEEP Grand Cherokee L,3.6,6,4WD,standard SUV,7,18,25,4,430
JEEP Grand Cherokee L,5.7,8,4WD,standard SUV,5,14,22,3,533
JEEP Grand Cherokee WK,3.6,6,2WD,standard SUV,7,19,26,4,414
JEEP Grand Cherokee WK,3.6,6,4WD,standard SUV,7,18,25,4,427
JEEP Grand Wagoneer,3,6,2WD,standard SUV,5,15,21,3,521
JEEP Grand Wagoneer,3,6,4WD,standard SUV,5,14,20,3,537
JEEP Grand Wagoneer,6.4,8,2WD,standard SUV,1,13,19,2,595
JEEP Grand Wagoneer,6.4,8,4WD,standard SUV,1,13,18,2,602
JEEP Renegade,1.3,4,2WD,small SUV,6,24,32,6,329
JEEP Renegade,1.3,4,4WD,small SUV,6,23,29,5,347
JEEP Renegade Trailhawk,1.3,4,4WD,small SUV,6,22,27,5,372
JEEP Wagoneer,5.7,8,2WD,standard SUV,5,16,22,3,480
JEEP Wagoneer,5.7,8,4WD,standard SUV,5,15,20,3,520
JEEP Wrangler,2,4,4WD,small SUV,5,21,24,5,404
JEEP Wrangler,2,4,4WD,small SUV,5,22,24,5,388
JEEP Wrangler,3.6,6,4WD,small SUV,7,18,23,4,440
JEEP Wrangler,3.6,6,4WD,small SUV,7,18,23,4,443
JEEP Wrangler,3.6,6,4WD,small SUV,5,19,24,4,421
JEEP Wrangler,3.6,6,4WD,small SUV,5,20,24,4,416
JEEP Wrangler,3.6,6,4WD,small SUV,7,19,24,4,421
JEEP Wrangler,3.6,6,4WD,small SUV,7,20,24,4,416
JEEP Wrangler,3.6,6,4WD,small SUV,5,17,23,4,459
JEEP Wrangler,3.6,6,4WD,small SUV,5,17,25,4,446
JEEP Wrangler,6.4,8,4WD,small SUV,1,13,17,2,623
KIA Carnival,3.5,6,2WD,minivan,5,19,26,5,407
KIA Forte,1.6,4,2WD,midsize car,5,27,35,6,296
KIA Forte,1.6,4,2WD,midsize car,5,22,31,5,348
KIA Forte,2,4,2WD,midsize car,7,29,39,7,271
KIA Forte,2,4,2WD,midsize car,5,29,39,7,271
KIA Forte FE,2,4,2WD,midsize car,5,31,41,7,256
KIA K5,1.6,4,2WD,large car,5,27,37,7,292
KIA K5,1.6,4,2WD,large car,5,29,38,7,277
KIA K5,1.6,4,4WD,large car,5,25,33,6,316
KIA K5,2.5,4,2WD,large car,5,24,32,6,332
KIA Niro,1.6,4,2WD,station wagon,7,51,46,9,183
KIA Niro FE,1.6,4,2WD,station wagon,7,53,48,9,179
KIA Niro Touring,1.6,4,2WD,station wagon,7,46,40,8,208
KIA Rio,1.6,4,2WD,small car,3,33,41,7,250
KIA Seltos,1.6,4,4WD,small SUV,5,25,30,6,331
KIA Seltos,2,4,2WD,small SUV,5,29,35,7,283
KIA Seltos,2,4,4WD,small SUV,5,27,31,6,314
KIA Sorento,2.5,4,2WD,small SUV,5,22,29,5,360
KIA Sorento,2.5,4,4WD,small SUV,5,22,27,5,377
KIA Sorento,2.5,4,2WD,small SUV,5,24,29,5,342
KIA Sorento,2.5,4,4WD,small SUV,5,23,25,5,366
KIA Sorento Hybrid,1.6,4,2WD,small SUV,7,39,35,8,242
KIA Sorento Hybrid,1.6,4,4WD,small SUV,7,36,33,7,257
KIA Soul,1.6,4,2WD,station wagon,5,27,32,6,309
KIA Soul,2,4,2WD,station wagon,7,28,33,6,301
KIA Soul Eco dynamics,2,4,2WD,station wagon,7,29,35,7,287
KIA Sportage,2,4,2WD,small SUV,5,20,28,5,392
KIA Sportage,2,4,4WD,small SUV,5,19,24,4,421
KIA Sportage,2.4,4,2WD,small SUV,7,23,30,5,350
KIA Sportage,2.4,4,2WD,small SUV,5,23,30,5,350
KIA Sportage,2.4,4,4WD,small SUV,7,22,26,5,389
KIA Sportage,2.4,4,4WD,small SUV,5,22,26,5,389
KIA Stinger,2.5,4,2WD,midsize car,3,22,32,5,355
KIA Stinger,2.5,4,4WD,midsize car,3,21,29,5,380
KIA Stinger,3.3,6,2WD,midsize car,3,18,25,4,437
KIA Stinger,3.3,6,4WD,midsize car,3,17,24,4,451
KIA Telluride,3.8,6,2WD,small SUV,5,20,26,5,395
KIA Telluride,3.8,6,4WD,small SUV,5,19,24,4,429
LAMBORGHINI Aventador Countach,6.5,12,4WD,small car,1,9,16,1,787
LAMBORGHINI Aventador Coupe,6.5,12,4WD,small car,1,9,16,1,802
LAMBORGHINI Aventador Roadster,6.5,12,4WD,small car,1,9,16,1,802
LAMBORGHINI Huracan,5.2,10,2WD,small car,1,13,18,2,596
LAMBORGHINI Huracan,5.2,10,4WD,small car,1,13,18,2,596
LAMBORGHINI Huracan Spyder,5.2,10,2WD,small car,1,13,18,2,596
LAMBORGHINI Huracan Spyder,5.2,10,4WD,small car,1,13,18,2,596
LAMBORGHINI Urus,4,8,4WD,standard SUV,3,12,17,2,617
LAND ROVER Defender 110,2,4,4WD,standard SUV,7,17,20,3,492
LAND ROVER Defender 110,5,8,4WD,standard SUV,3,14,19,3,563
LAND ROVER Defender 110 MHEV,3,6,4WD,standard SUV,7,17,22,4,462
LAND ROVER Defender 90,2,4,4WD,standard SUV,7,18,21,4,466
LAND ROVER Defender 90,5,8,4WD,standard SUV,3,15,19,3,545
LAND ROVER Defender 90 MHEV,3,6,4WD,standard SUV,7,17,22,4,462
LAND ROVER Discovery,2,4,4WD,standard SUV,7,19,22,4,436
LAND ROVER Discovery MHEV,3,6,4WD,standard SUV,7,18,24,4,435
LAND ROVER Discovery Sport,2,4,4WD,small SUV,7,19,23,4,437
LAND ROVER New Range Rover,4.4,8,4WD,standard SUV,5,16,21,3,508
LAND ROVER New Range Rover LWB,4.4,8,4WD,standard SUV,5,16,21,3,505
LAND ROVER New Range Rover P360 LWB MHEV,3,6,4WD,standard SUV,7,18,26,4,427
LAND ROVER New Range Rover P360 MHEV,3,6,4WD,standard SUV,7,18,26,4,427
LAND ROVER New Range Rover P400 LWB MHEV,3,6,4WD,standard SUV,7,18,26,4,427
LAND ROVER New Range Rover P400 MHEV,3,6,4WD,standard SUV,7,18,26,4,427
LAND ROVER Range Rover,5,8,4WD,standard SUV,3,16,21,3,491
LAND ROVER Range Rover Evoque,2,4,4WD,small SUV,7,20,27,5,398
LAND ROVER Range Rover Evoque MHEV,2,4,4WD,small SUV,7,21,26,5,393
LAND ROVER Range Rover LWB,5,8,4WD,standard SUV,3,16,21,3,491
LAND ROVER Range Rover LWB SVA,5,8,4WD,standard SUV,3,13,19,2,587
LAND ROVER Range Rover P360 MHEV,3,6,4WD,standard SUV,7,18,23,4,449
LAND ROVER Range Rover P400 MHEV,3,6,4WD,standard SUV,7,18,23,4,449
LAND ROVER Range Rover SVA,5,8,4WD,standard SUV,3,14,19,3,569
LAND ROVER Range Rover Sport,5,8,4WD,standard SUV,3,17,22,4,474
LAND ROVER Range Rover Sport P360 MHEV,3,6,4WD,standard SUV,7,19,24,4,433
LAND ROVER Range Rover Sport P400 MHEV,3,6,4WD,standard SUV,7,19,24,4,433
LAND ROVER Range Rover Sport SVR,5,8,4WD,standard SUV,3,15,20,3,540
LAND ROVER Range Rover Velar,2,4,4WD,small SUV,7,20,26,5,393
LAND ROVER Range Rover Velar P340 MHEV,3,6,4WD,small SUV,7,20,26,5,399
LAND ROVER Range Rover Velar P400 MHEV,3,6,4WD,small SUV,7,19,25,4,426
LEXUS ES 250,2.5,4,4WD,midsize car,6,25,34,6,315
LEXUS ES 300h,2.5,4,2WD,midsize car,7,43,44,8,201
LEXUS ES 350,3.5,6,2WD,midsize car,5,22,32,5,344
LEXUS ES 350 F Sport,3.5,6,2WD,midsize car,5,22,31,5,352
LEXUS GX 460,4.6,8,4WD,standard SUV,3,15,19,3,542
LEXUS IS 300,2,4,2WD,small car,5,21,31,5,356
LEXUS IS 300,3.5,6,4WD,small car,5,19,26,5,407
LEXUS IS 350,3.5,6,4WD,small car,5,19,26,5,407
LEXUS IS 350,3.5,6,2WD,small car,5,20,28,5,385
LEXUS IS 500,5,8,2WD,small car,5,17,25,4,451
LEXUS LC 500,5,8,2WD,small car,5,16,25,4,473
LEXUS LC 500 Convertible,5,8,2WD,small car,5,15,25,3,489
LEXUS LC 500h,3.5,6,2WD,small car,7,26,34,6,303
LEXUS LS 500,3.4,6,2WD,midsize car,5,18,29,5,404
LEXUS LS 500,3.4,6,4WD,midsize car,5,17,27,4,432
LEXUS LS 500h,3.5,6,4WD,midsize car,7,22,29,5,358
LEXUS LX 600,3.4,6,4WD,standard SUV,5,17,22,4,477
LEXUS NX 250,2.5,4,2WD,small SUV,6,26,33,6,311
LEXUS NX 250,2.5,4,4WD,small SUV,6,25,32,6,318
LEXUS NX 350,2.4,4,4WD,small SUV,7,22,28,5,358
LEXUS NX 350,2.4,4,4WD,small SUV,7,22,29,5,357
LEXUS NX 350h,2.5,4,4WD,small SUV,7,41,37,8,225
LEXUS RC 300,2,4,2WD,small car,5,21,31,5,356
LEXUS RC 300,3.5,6,4WD,small car,5,19,26,5,407
LEXUS RC 350,3.5,6,4WD,small car,5,19,26,5,407
LEXUS RC 350,3.5,6,2WD,small car,5,20,28,5,385
LEXUS RC F,5,8,2WD,small car,5,16,24,4,459
LEXUS RX 350,3.5,6,2WD,small SUV,5,20,27,5,391
LEXUS RX 350,3.5,6,4WD,small SUV,5,19,26,5,405
LEXUS RX 350 L,3.5,6,2WD,small SUV,5,19,26,5,407
LEXUS RX 350 L,3.5,6,4WD,small SUV,5,18,25,4,432
LEXUS RX 450h,3.5,6,4WD,standard SUV,7,31,28,6,297
LEXUS RX 450h L,3.5,6,4WD,standard SUV,7,29,28,6,305
LEXUS UX 200,2,4,2WD,midsize car,6,29,37,7,271
LEXUS UX 250h,2,4,2WD,small car,7,43,41,8,209
LEXUS UX 250h,2,4,4WD,small car,7,41,38,8,225
LINCOLN Aviator,3,6,2WD,standard SUV,5,18,26,4,424
LINCOLN Aviator,3,6,4WD,standard SUV,5,17,24,4,451
LINCOLN Corsair,2,4,2WD,small SUV,5,22,29,5,361
LINCOLN Corsair,2,4,4WD,small SUV,5,21,29,5,369
LINCOLN Corsair,2.3,4,4WD,small SUV,5,21,28,5,371
LINCOLN Nautilus,2,4,4WD,small SUV,6,20,25,5,404
LINCOLN Nautilus,2,4,4WD,small SUV,6,20,25,5,404
LINCOLN Nautilus,2.7,6,4WD,small SUV,5,19,25,4,423
LINCOLN Navigator,3.5,6,2WD,standard SUV,6,17,23,4,462
LINCOLN Navigator,3.5,6,4WD,standard SUV,6,16,22,3,498
LINCOLN Nuatilus,2,4,2WD,small SUV,6,21,26,5,384
LINCOLN Nuatilus,2,4,2WD,small SUV,6,21,26,5,387
MASERATI Ghibli GT,3,6,2WD,midsize car,3,18,25,4,436
MASERATI Ghibli Modena,3,6,2WD,midsize car,3,18,25,4,436
MASERATI Ghibli Modena,3,6,4WD,midsize car,3,16,24,4,472
MASERATI Ghibli Trofeo,3.8,8,2WD,midsize car,3,13,20,3,560
MASERATI Ghibli Trofeo,3.8,8,2WD,midsize car,1,13,20,3,560
MASERATI Levante GT,3,6,4WD,standard SUV,3,16,22,3,495
MASERATI Levante Modena,3,6,4WD,standard SUV,3,16,22,3,495
MASERATI Levante Modena V8,3.8,8,4WD,standard SUV,3,13,20,3,562
MASERATI Levante Modena V8,3.8,8,4WD,standard SUV,1,13,20,3,562
MASERATI Levante Trofeo,3.8,8,4WD,standard SUV,3,13,20,3,562
MASERATI Levante Trofeo,3.8,8,4WD,standard SUV,1,13,20,3,562
MASERATI MC20,3,6,2WD,small car,5,15,25,3,474
MASERATI Quattroporte GT,3,6,2WD,large car,3,16,25,4,453
MASERATI Quattroporte Modena,3,6,2WD,large car,3,16,25,4,453
MASERATI Quattroporte Modena,3,6,4WD,large car,3,16,24,4,472
MASERATI Quattroporte Trofeo,3.8,8,2WD,large car,3,13,20,3,560
MASERATI Quattroporte Trofeo,3.8,8,2WD,large car,1,13,20,3,560
MAZDA 3,2,4,2WD,small car,7,28,36,7,287
MAZDA 3,2.5,4,2WD,midsize car,7,24,33,6,323
MAZDA 3,2.5,4,2WD,midsize car,7,26,34,6,306
MAZDA 3,2.5,4,2WD,small car,7,26,35,6,300
MAZDA 3,2.5,4,4WD,midsize car,7,25,31,6,326
MAZDA 3,2.5,4,4WD,small car,7,25,33,6,320
MAZDA 3,2.5,4,4WD,midsize car,5,23,31,5,337
MAZDA 3,2.5,4,4WD,small car,5,23,32,6,334
MAZDA CX-30,2.5,4,4WD,small SUV,7,24,31,5,334
MAZDA CX-30,2.5,4,4WD,small SUV,5,22,30,5,353
MAZDA CX-5 4WD,2.5,4,4WD,small SUV,7,24,30,5,337
MAZDA CX-5 4WD,2.5,4,4WD,small SUV,6,24,30,5,337
MAZDA CX-5 4WD,2.5,4,4WD,small SUV,5,22,27,5,370
MAZDA CX-9,2.5,4,4WD,small SUV,5,20,26,5,392
MAZDA MX-5,2,4,2WD,small car,3,26,34,6,305
MAZDA MX-5,2,4,2WD,small car,3,26,35,6,299
MERCEDES-BENZ A 220,2,4,2WD,small car,5,24,35,6,313
MERCEDES-BENZ A 220 4Matic,2,4,4WD,small car,5,25,35,6,312
MERCEDES-BENZ AMG A35 4Matic,2,4,4WD,small car,5,22,30,5,356
MERCEDES-BENZ AMG C43 4Matic,3,6,4WD,small car,5,19,28,5,402
MERCEDES-BENZ AMG C43 4Matic,3,6,4WD,small car,5,19,28,5,406
MERCEDES-BENZ AMG CLA 35 4Matic,2,4,4WD,small car,5,21,29,5,366
MERCEDES-BENZ AMG CLA45 4Matic,2,4,4WD,small car,3,20,28,5,392
MERCEDES-BENZ AMG E 53 4Matic+,3,6,4WD,midsize car,6,21,29,5,373
MERCEDES-BENZ AMG E 53 4Matic+,3,6,4WD,small car,6,20,27,5,397
MERCEDES-BENZ AMG E 53 4Matic+,3,6,4WD,small car,6,20,28,5,384
MERCEDES-BENZ AMG GLA35 4Matic,2,4,4WD,station wagon,5,22,30,5,355
MERCEDES-BENZ AMG GLA45 4Matic,2,4,4WD,station wagon,3,19,25,5,409
MERCEDES-BENZ AMG GLB35 4Matic,2,4,4WD,station wagon,5,20,27,5,396
MERCEDES-BENZ AMG GLC43 4Matic,3,6,4WD,small SUV,5,16,24,4,468
MERCEDES-BENZ AMG GLC43 4Matic,3,6,4WD,small SUV,5,18,25,4,430
MERCEDES-BENZ AMG GT 53 4Matic+,3,6,4WD,small car,6,19,25,4,415
MERCEDES-BENZ AMG GT43 4Matic+,3,6,4WD,small car,6,19,25,4,415
MERCEDES-BENZ C300,2,4,2WD,small car,6,21,28,5,373
MERCEDES-BENZ C300,2,4,2WD,small car,6,22,31,5,350
MERCEDES-BENZ C300,2,4,2WD,small car,7,25,35,6,305
MERCEDES-BENZ C300 4Matic,2,4,4WD,small car,6,21,30,5,361
MERCEDES-BENZ C300 4Matic,2,4,4WD,small car,6,22,31,5,350
MERCEDES-BENZ C300 4Matic,2,4,4WD,small car,7,23,33,6,330
MERCEDES-BENZ CLA250,2,4,2WD,small car,5,25,36,6,309
MERCEDES-BENZ CLA250 4Matic,2,4,4WD,small car,5,24,33,6,322
MERCEDES-BENZ CLS450 4Matic,3,6,4WD,small car,6,22,30,5,357
MERCEDES-BENZ E350,2,4,2WD,midsize car,6,23,31,5,342
MERCEDES-BENZ E350 4Matic,2,4,4WD,midsize car,6,21,29,5,366
MERCEDES-BENZ E450,3,6,2WD,small car,6,22,29,5,360
MERCEDES-BENZ E450 4Matic,3,6,4WD,midsize car,6,23,30,5,348
MERCEDES-BENZ E450 4Matic,3,6,4WD,small car,6,21,30,5,362
MERCEDES-BENZ E450 4Matic All-Terrain,3,6,4WD,station wagon,6,21,28,5,368
MERCEDES-BENZ E450 4Matic Convertible,3,6,4WD,small car,6,22,29,5,362
MERCEDES-BENZ E450 Convertible,3,6,2WD,small car,6,22,29,5,360
MERCEDES-BENZ GLA 250,2,4,2WD,special purpose,5,24,34,6,321
MERCEDES-BENZ GLA250 4Matic,2,4,4WD,small SUV,5,23,32,5,337
MERCEDES-BENZ GLB 250,2,4,2WD,special purpose,5,24,32,6,330
MERCEDES-BENZ GLB 250 4Matic,2,4,4WD,small SUV,5,22,30,5,361
MERCEDES-BENZ GLC 300,2,4,2WD,small SUV,6,22,27,5,373
MERCEDES-BENZ GLC 300 4Matic,2,4,4WD,small SUV,6,21,27,5,383
MERCEDES-BENZ GLC 300 4Matic,2,4,4WD,small SUV,6,21,28,5,374
MERCEDES-BENZ GLE350,2,4,2WD,small SUV,5,19,27,5,398
MERCEDES-BENZ GLE350 4Matic,2,4,4WD,small SUV,5,19,26,5,402
MERCEDES-BENZ GLE450 4Matic,3,6,4WD,standard SUV,6,20,26,5,394
MERCEDES-BENZ GLE450 4Matic,3,6,4WD,standard SUV,6,20,25,5,399
MERCEDES-BENZ Metris,2,4,2WD,special purpose,6,18,22,4,453
MERCEDES-BENZ Metris,2,4,2WD,special purpose,6,19,23,4,430
MERCEDES-BENZ S500 4Matic,3,6,4WD,large car,6,21,30,5,372
MERCEDES-BENZ S580 4Matic,4,8,4WD,large car,5,16,25,4,459
MERCEDES-BENZ S580 4Matic Maybach,4,8,4WD,large car,5,15,24,3,484
MINI Cooper Convertible,1.5,3,2WD,small car,7,29,38,7,273
MINI Cooper Convertible,1.5,3,2WD,small car,7,27,37,7,284
MINI Cooper Countryman,1.5,3,2WD,midsize car,7,26,33,6,306
MINI Cooper Countryman All4,1.5,3,4WD,midsize car,7,23,30,5,340
MINI Cooper Hardtop,1.5,3,2WD,small car,7,29,38,7,273
MINI Cooper Hardtop,1.5,3,2WD,small car,7,27,37,7,284
MINI Cooper S Clubman,2,4,2WD,midsize car,7,25,35,6,304
MINI Cooper S Clubman,2,4,2WD,midsize car,7,23,33,5,335
MINI Cooper S Clubman All4,2,4,4WD,midsize car,7,23,32,5,333
MINI Cooper S Convertible,2,4,2WD,small car,7,27,36,6,293
MINI Cooper S Convertible,2,4,2WD,small car,7,23,33,5,335
MINI Cooper S Countryman,2,4,2WD,midsize car,7,24,33,6,321
MINI Cooper S Countryman All4,2,4,4WD,midsize car,7,23,31,5,341
MINI Cooper S Hardtop,2,4,2WD,small car,7,28,38,7,280
MINI Cooper S Hardtop,2,4,2WD,small car,7,23,33,6,331
MINI JCW Countryman All4,2,4,4WD,midsize car,3,23,30,5,343
MINI John Cooper Works Clubman All4,2,4,4WD,midsize car,3,23,31,5,339
MINI John Cooper Works Convertible,2,4,2WD,small car,7,24,33,6,319
MINI John Cooper Works Hardtop,2,4,2WD,small car,7,22,31,5,348
MINI John Cooper Works Hardtop,2,4,2WD,small car,7,25,34,6,308
MITSUBISHI Eclipse Cross,1.5,4,2WD,small SUV,5,25,28,5,338
MITSUBISHI Eclipse Cross,1.5,4,4WD,small SUV,5,25,26,5,347
