Model,Displ,Cyl,Drive,Veh.Class,Air.Pollution.Score,City.MPG,Hwy.MPG,Greenhouse.Gas.Score,Comb.CO2
MITSUBISHI Eclipse Cross ES,1.5,4,2WD,small SUV,5,26,29,6,327
MITSUBISHI Eclipse Cross ES,1.5,4,4WD,small SUV,5,25,28,5,337
MITSUBISHI Mirage,1.2,3,2WD,small car,5,36,43,8,227
MITSUBISHI Mirage,1.2,3,2WD,small car,5,33,41,7,242
MITSUBISHI Mirage G4,1.2,3,2WD,small car,5,35,41,8,235
MITSUBISHI Mirage G4,1.2,3,2WD,small car,5,33,40,7,252
MITSUBISHI Outlander,2.5,4,2WD,small SUV,7,24,31,6,328
MITSUBISHI Outlander,2.5,4,4WD,small SUV,6,24,30,5,342
MITSUBISHI Outlander Sport,2,4,2WD,small SUV,5,24,30,6,331
MITSUBISHI Outlander Sport,2,4,4WD,small SUV,5,23,29,5,344
MITSUBISHI Outlander Sport,2.4,4,2WD,small SUV,5,23,29,5,354
MITSUBISHI Outlander Sport,2.4,4,4WD,small SUV,5,23,28,5,353
McLAREN 720S Coupe,4,8,2WD,small car,3,15,22,3,505
McLAREN 720S Spider,4,8,2WD,small car,3,15,22,3,505
McLAREN 765LT Spider,4,8,2WD,small car,3,14,18,3,565
McLAREN GT,4,8,2WD,small car,6,15,22,3,504
NISSAN Altima,2.5,4,2WD,midsize car,7,28,39,7,278
NISSAN Altima,2.5,4,4WD,midsize car,7,26,36,6,300
NISSAN Altima SR,2,4,2WD,midsize car,6,25,34,6,311
NISSAN Altima SR,2.5,4,2WD,midsize car,7,27,37,7,290
NISSAN Altima SR/Platinum,2.5,4,4WD,midsize car,7,25,35,6,307
NISSAN Altima SV/SL,2.5,4,2WD,midsize car,7,27,37,7,287
NISSAN Armada,5.6,8,2WD,standard SUV,3,14,19,3,558
NISSAN Armada,5.6,8,4WD,standard SUV,3,13,18,2,593
NISSAN Armada,5.6,8,4WD,standard SUV,3,13,18,2,594
NISSAN Frontier,3.8,6,2WD,pickup,5,18,24,4,444
NISSAN Frontier,3.8,6,4WD,pickup,5,17,22,4,458
NISSAN Kicks,1.6,4,2WD,midsize car,7,31,36,7,269
NISSAN Maxima,3.5,6,2WD,midsize car,3,20,30,5,370
NISSAN Murano,3.5,6,2WD,station wagon,5,20,28,5,387
NISSAN Murano,3.5,6,4WD,station wagon,5,20,28,5,392
NISSAN Pathfinder,3.5,6,2WD,small SUV,5,21,26,5,386
NISSAN Pathfinder,3.5,6,4WD,small SUV,5,21,27,5,384
NISSAN Pathfinder 4WD Platinum,3.5,6,4WD,standard SUV,5,20,25,5,399
NISSAN Rogue,1.5,3,2WD,small SUV,6,30,37,7,271
NISSAN Rogue,1.5,3,2WD,small SUV,6,30,37,7,271
NISSAN Rogue,1.5,3,4WD,small SUV,6,28,35,7,287
NISSAN Rogue,1.5,3,4WD,small SUV,6,28,35,7,287
NISSAN Rogue SL/Platinum,1.5,3,2WD,small SUV,6,29,36,7,278
NISSAN Rogue SL/Platinum,1.5,3,2WD,small SUV,6,29,36,7,278
NISSAN Rogue SL/Platinum,1.5,3,4WD,small SUV,6,28,34,7,288
NISSAN Rogue SL/Platinum,1.5,3,4WD,small SUV,6,28,34,7,288
NISSAN Rogue Sport,2,4,2WD,station wagon,6,25,32,6,318
NISSAN Rogue Sport,2,4,4WD,station wagon,6,24,30,6,330
NISSAN Sentra,2,4,2WD,midsize car,7,29,39,7,269
NISSAN Sentra SR,2,4,2WD,midsize car,7,28,37,7,283
NISSAN Titan,5.6,8,2WD,pickup,5,16,21,3,503
NISSAN Titan,5.6,8,4WD,pickup,5,15,21,3,505
NISSAN Titan Pro-4X,5.6,8,4WD,pickup,5,15,20,3,517
NISSAN Versa,1.6,4,2WD,small car,7,32,40,7,254
NISSAN Versa,1.6,4,2WD,small car,7,27,35,6,296
PORSCHE 718 Boxster,2,4,2WD,small car,1,21,27,5,375
PORSCHE 718 Boxster,2,4,2WD,small car,1,20,26,5,394
PORSCHE 718 Boxster GTS 4.0,4,6,2WD,small car,5,19,24,4,418
PORSCHE 718 Boxster GTS 4.0,4,6,2WD,small car,5,17,24,4,458
PORSCHE 718 Boxster S,2.5,4,2WD,small car,1,19,25,5,410
PORSCHE 718 Boxster S,2.5,4,2WD,small car,1,19,24,4,423
PORSCHE 718 Boxster T,2,4,2WD,small car,1,21,27,5,380
PORSCHE 718 Boxster T,2,4,2WD,small car,1,20,26,5,394
PORSCHE 718 Cayman,2,4,2WD,small car,1,21,27,5,375
PORSCHE 718 Cayman,2,4,2WD,small car,1,20,26,5,394
PORSCHE 718 Cayman GT4,4,6,2WD,small car,5,18,24,4,436
PORSCHE 718 Cayman GT4,4,6,2WD,small car,5,17,23,4,460
PORSCHE 718 Cayman GTS 4.0,4,6,2WD,small car,5,19,24,4,418
PORSCHE 718 Cayman GTS 4.0,4,6,2WD,small car,5,17,24,4,458
PORSCHE 718 Cayman S,2.5,4,2WD,small car,1,19,25,5,410
PORSCHE 718 Cayman S,2.5,4,2WD,small car,1,19,24,4,423
PORSCHE 718 Cayman T,2,4,2WD,small car,1,21,27,5,380
PORSCHE 718 Cayman T,2,4,2WD,small car,1,20,26,5,394
PORSCHE 718 Spyder,4,6,2WD,small car,5,18,24,4,436
PORSCHE 718 Spyder,4,6,2WD,small car,5,17,23,4,460
PORSCHE 911 Carrera,3,6,2WD,small car,5,18,24,4,443
PORSCHE 911 Carrera 4,3,6,4WD,small car,5,18,24,4,442
PORSCHE 911 Carrera 4 Cabriolet,3,6,4WD,small car,5,18,24,4,443
PORSCHE 911 Carrera 4 GTS,3,6,4WD,small car,5,17,23,4,464
PORSCHE 911 Carrera 4 GTS,3,6,4WD,small car,5,17,23,4,465
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,4WD,small car,5,17,22,4,463
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,4WD,small car,5,16,23,4,477
PORSCHE 911 Carrera 4S,3,6,4WD,small car,5,18,23,4,443
PORSCHE 911 Carrera 4S,3,6,4WD,small car,5,17,25,4,442
PORSCHE 911 Carrera 4S Cabriolet,3,6,4WD,small car,5,18,23,4,439
PORSCHE 911 Carrera 4S Cabriolet,3,6,4WD,small car,5,17,24,4,452
PORSCHE 911 Carrera Cabriolet,3,6,2WD,small car,5,18,24,4,443
PORSCHE 911 Carrera GTS,3,6,2WD,small car,5,17,23,4,465
PORSCHE 911 Carrera GTS,3,6,2WD,small car,5,17,24,4,444
PORSCHE 911 Carrera GTS Cabriolet,3,6,2WD,small car,5,17,23,4,465
PORSCHE 911 Carrera GTS Cabriolet,3,6,2WD,small car,5,17,24,4,448
PORSCHE 911 Carrera S,3,6,2WD,small car,5,18,23,4,441
PORSCHE 911 Carrera S,3,6,2WD,small car,5,18,25,4,425
PORSCHE 911 Carrera S Cabriolet,3,6,2WD,small car,5,18,23,4,439
PORSCHE 911 Carrera S Cabriolet,3,6,2WD,small car,5,17,25,4,443
PORSCHE 911 GT3,4,6,2WD,small car,3,15,18,3,538
PORSCHE 911 GT3,4,6,2WD,small car,3,14,18,3,571
PORSCHE 911 GT3 Touring,4,6,2WD,small car,3,15,18,3,539
PORSCHE 911 GT3 Touring,4,6,2WD,small car,3,14,18,3,570
PORSCHE 911 Targa 4,3,6,4WD,small car,5,18,24,4,442
PORSCHE 911 Targa 4 GTS,3,6,4WD,small car,5,17,22,4,461
PORSCHE 911 Targa 4 GTS,3,6,4WD,small car,5,16,23,4,477
PORSCHE 911 Targa 4S,3,6,4WD,small car,5,18,23,4,442
PORSCHE 911 Targa 4S,3,6,4WD,small car,5,17,24,4,447
PORSCHE 911 Turbo,3.7,6,4WD,small car,5,15,20,3,516
PORSCHE 911 Turbo Cabriolet,3.7,6,4WD,small car,5,15,20,3,521
PORSCHE 911 Turbo S,3.7,6,4WD,small car,5,15,20,3,517
PORSCHE 911 Turbo S Cabriolet,3.7,6,4WD,small car,5,15,20,3,528
PORSCHE Cayenne,3,6,4WD,standard SUV,5,17,22,4,466
PORSCHE Cayenne / Cayenne Coup,3,6,4WD,standard SUV,5,17,22,4,466
PORSCHE Cayenne GTS,4,8,4WD,standard SUV,3,15,19,3,525
PORSCHE Cayenne GTS,4,8,4WD,standard SUV,3,15,19,3,533
PORSCHE Cayenne S,2.9,6,4WD,standard SUV,5,16,21,3,490
PORSCHE Cayenne S,2.9,6,4WD,standard SUV,5,16,22,3,494
PORSCHE Cayenne Turbo,4,8,4WD,standard SUV,3,14,19,3,553
PORSCHE Cayenne Turbo,4,8,4WD,standard SUV,3,15,20,3,531
PORSCHE Cayenne Turbo GT Coupe,4,8,4WD,standard SUV,3,14,19,3,555
PORSCHE Macan,2,4,4WD,small SUV,5,19,25,4,424
PORSCHE Macan GTS,2.9,6,4WD,small SUV,5,17,22,4,466
PORSCHE Macan S,2.9,6,4WD,small SUV,5,17,23,4,466
PORSCHE Panamera,2.9,6,2WD,large car,5,18,24,4,441
PORSCHE Panamera 4,2.9,6,4WD,large car,5,18,24,4,441
PORSCHE Panamera 4 Executive,2.9,6,4WD,large car,5,17,23,4,465
PORSCHE Panamera 4 ST,2.9,6,4WD,large car,5,18,23,4,441
PORSCHE Panamera 4S,2.9,6,4WD,large car,5,18,24,4,445
PORSCHE Panamera 4S Executive,2.9,6,4WD,large car,5,17,23,4,469
PORSCHE Panamera 4S ST,2.9,6,4WD,large car,5,17,23,4,469
PORSCHE Panamera GTS,4,8,4WD,large car,3,15,21,3,520
PORSCHE Panamera GTS ST,4,8,4WD,large car,3,15,20,3,520
PORSCHE Panamera Turbo S / Exec / ST,4,8,4WD,large car,3,15,21,3,525
RAM 1500,3.6,6,2WD,pickup,5,20,25,5,407
RAM 1500,3.6,6,2WD,pickup,7,20,25,5,407
RAM 1500,3.6,6,4WD,pickup,5,19,24,4,417
RAM 1500,3.6,6,4WD,pickup,7,19,24,4,417
RAM 1500,5.7,8,2WD,pickup,5,15,22,3,514
RAM 1500,5.7,8,2WD,pickup,5,18,23,4,443
RAM 1500,5.7,8,4WD,pickup,5,15,21,3,523
RAM 1500,5.7,8,4WD,pickup,5,18,22,4,456
RAM 1500 Classic,3.6,6,2WD,pickup,7,17,25,4,450
RAM 1500 Classic,3.6,6,2WD,pickup,3,17,25,4,450
RAM 1500 Classic,3.6,6,4WD,pickup,7,16,23,4,475
RAM 1500 Classic,3.6,6,4WD,pickup,3,16,23,4,475
RAM 1500 Classic,5.7,8,2WD,pickup,5,15,21,3,519
RAM 1500 Classic,5.7,8,2WD,pickup,3,15,21,3,519
RAM 1500 Classic,5.7,8,4WD,pickup,5,15,21,3,526
RAM 1500 Classic,5.7,8,4WD,pickup,3,15,21,3,526
RAM 1500 HFE,3.6,6,2WD,pickup,5,20,26,5,394
RAM 1500 HFE,3.6,6,2WD,pickup,7,20,26,5,394
RAM 1500 TRX,6.2,8,4WD,pickup,1,10,14,1,748
RAM Promaster City,2.4,4,2WD,special purpose,6,21,28,5,374
ROLLS-ROYCE Cullinan,6.7,12,4WD,station wagon,3,12,20,2,618
ROLLS-ROYCE Cullinan Black Badge,6.7,12,4WD,station wagon,3,12,20,2,618
ROLLS-ROYCE Ghost,6.7,12,4WD,large car,3,12,19,2,624
ROLLS-ROYCE Ghost Black Badge,6.7,12,4WD,large car,3,12,19,2,624
ROLLS-ROYCE Ghost Extended,6.7,12,4WD,large car,3,12,19,2,624
ROLLS-ROYCE Phantom,6.7,12,2WD,large car,3,12,20,2,615
ROLLS-ROYCE Phantom Extended,6.7,12,2WD,large car,3,12,20,2,615
SUBARU Ascent,2.4,4,4WD,standard SUV,3,21,27,5,384
SUBARU Ascent Limited/Touring/Onyx,2.4,4,4WD,standard SUV,3,20,26,5,401
SUBARU BRZ,2.4,4,2WD,small car,3,20,27,5,398
SUBARU BRZ,2.4,4,2WD,small car,3,21,30,5,362
SUBARU Crosstrek,2,4,4WD,small SUV,7,22,29,5,355
SUBARU Crosstrek,2,4,4WD,small SUV,7,28,33,6,297
SUBARU Crosstrek,2.5,4,4WD,small SUV,7,27,34,6,302
SUBARU Forester,2.5,4,4WD,small SUV,7,26,33,6,310
SUBARU Forester Wilderness,2.5,4,4WD,small SUV,7,25,28,5,338
SUBARU Impreza,2,4,4WD,midsize car,7,23,31,5,337
SUBARU Impreza,2,4,4WD,station wagon,7,24,31,5,335
SUBARU Impreza,2,4,4WD,midsize car,7,28,36,7,280
SUBARU Impreza,2,4,4WD,station wagon,7,28,36,7,284
SUBARU Impreza Sport,2,4,4WD,station wagon,7,22,30,5,351
SUBARU Impreza Sport,2,4,4WD,midsize car,7,27,36,6,291
SUBARU Impreza Sport,2,4,4WD,station wagon,7,27,35,6,292
SUBARU Legacy,2.4,4,4WD,large car,3,24,32,6,330
SUBARU Legacy,2.5,4,4WD,large car,7,27,35,6,295
SUBARU Outback AWD,2.4,4,4WD,small SUV,3,23,30,5,343
SUBARU Outback AWD,2.5,4,4WD,small SUV,7,26,33,6,308
SUBARU Outback Wilderness,2.4,4,4WD,small SUV,3,22,26,5,377
SUBARU WRX,2.4,4,4WD,midsize car,3,19,26,5,407
SUBARU WRX,2.4,4,4WD,midsize car,3,19,25,4,419
TOYOTA 4Runner,4,6,2WD,standard SUV,5,16,19,3,503
TOYOTA 4Runner,4,6,4WD,standard SUV,5,16,19,3,515
TOYOTA 4Runner,4,6,4WD,standard SUV,5,16,19,3,519
TOYOTA Avalon,3.5,6,2WD,midsize car,5,22,31,5,352
TOYOTA Avalon Hybrid,2.5,4,2WD,midsize car,7,43,43,8,203
TOYOTA Avalon Hybrid XLE,2.5,4,2WD,midsize car,7,43,44,8,201
TOYOTA Avalon XLE,3.5,6,2WD,midsize car,5,22,32,5,341
TOYOTA C-HR,2,4,2WD,small car,3,27,31,6,305
TOYOTA Camry,3.5,6,2WD,midsize car,5,22,33,5,338
TOYOTA Camry Hybrid LE,2.5,4,2WD,midsize car,7,51,53,9,170
TOYOTA Camry Hybrid SE/XLE/XSE,2.5,4,2WD,midsize car,7,44,47,9,195
TOYOTA Camry LE/SE,2.5,4,2WD,midsize car,7,28,39,7,280
TOYOTA Camry LE/SE,2.5,4,4WD,midsize car,6,25,34,6,310
TOYOTA Camry TRD,3.5,6,2WD,midsize car,5,22,31,5,354
TOYOTA Camry XLE/XSE,2.5,4,2WD,midsize car,7,27,38,7,286
TOYOTA Camry XLE/XSE,2.5,4,4WD,midsize car,6,25,34,6,315
TOYOTA Camry XSE,3.5,6,2WD,midsize car,5,22,32,5,345
TOYOTA Corolla,1.8,4,2WD,small car,5,30,38,7,267
TOYOTA Corolla,1.8,4,2WD,small car,5,29,39,7,271
TOYOTA Corolla,2,4,2WD,small car,7,29,36,7,277
TOYOTA Corolla,2,4,2WD,small car,7,31,40,7,257
TOYOTA Corolla Apex,2,4,2WD,small car,7,28,36,7,286
TOYOTA Corolla Apex,2,4,2WD,small car,7,31,38,7,265
TOYOTA Corolla Cross,2,4,2WD,small SUV,7,31,33,7,275
TOYOTA Corolla Cross,2,4,4WD,small SUV,7,29,32,6,293
TOYOTA Corolla Hatchback,2,4,2WD,small car,7,28,36,7,284
TOYOTA Corolla Hatchback,2,4,2WD,small car,7,32,41,7,251
TOYOTA Corolla Hatchback XSE,2,4,2WD,small car,7,30,38,7,266
TOYOTA Corolla Hybrid,1.8,4,2WD,small car,7,53,52,9,170
TOYOTA Corolla XLE,1.8,4,2WD,small car,5,29,37,7,274
TOYOTA Corolla XSE,2,4,2WD,small car,7,31,38,7,265
TOYOTA GR86,2.4,4,2WD,small car,3,20,27,5,396
TOYOTA GR86,2.4,4,2WD,small car,3,21,31,5,360
TOYOTA Highlander,3.5,6,2WD,small SUV,5,20,28,5,389
TOYOTA Highlander,3.5,6,2WD,small SUV,5,21,29,5,372
TOYOTA Highlander,3.5,6,4WD,small SUV,5,20,27,5,387
TOYOTA Highlander Hybrid,2.5,4,2WD,small SUV,7,36,35,7,245
TOYOTA Highlander Hybrid,2.5,4,4WD,standard SUV,7,35,35,7,254
TOYOTA Highlander Hybrid LTD/PLAT,2.5,4,4WD,standard SUV,7,35,34,7,253
TOYOTA Prius,1.8,4,2WD,midsize car,7,54,50,9,170
TOYOTA Prius,1.8,4,4WD,midsize car,7,51,47,9,179
TOYOTA Prius Eco,1.8,4,2WD,midsize car,7,58,53,9,158
TOYOTA RAV4,2.5,4,2WD,small SUV,7,27,35,6,292
TOYOTA RAV4,2.5,4,2WD,small SUV,7,27,35,6,296
TOYOTA RAV4,2.5,4,4WD,small SUV,6,25,33,6,319
TOYOTA RAV4,2.5,4,4WD,small SUV,6,27,33,6,301
TOYOTA RAV4 Hybrid,2.5,4,4WD,small SUV,7,41,38,8,223
TOYOTA RAV4 LE,2.5,4,4WD,small SUV,6,27,34,6,296
TOYOTA RAV4 TRD Offroad,2.5,4,4WD,small SUV,6,25,32,6,323
TOYOTA Sequoia,5.7,8,2WD,standard SUV,5,13,17,2,604
TOYOTA Sequoia,5.7,8,4WD,standard SUV,5,13,17,2,618
TOYOTA Sienna,2.5,4,2WD,minivan,7,36,36,7,246
TOYOTA Sienna,2.5,4,4WD,minivan,7,35,36,7,253
TOYOTA Supra 2.0,2,4,2WD,small car,7,25,32,6,317
TOYOTA Supra 3.0,3,6,2WD,small car,5,22,30,5,351
TOYOTA Tacoma,2.7,4,2WD,pickup,5,20,23,4,423
TOYOTA Tacoma,2.7,4,4WD,pickup,5,19,22,4,441
TOYOTA Tacoma,3.5,6,4WD,pickup,5,17,21,3,481
TOYOTA Tacoma,3.5,6,2WD,pickup,5,19,24,4,431
TOYOTA Tacoma,3.5,6,4WD,pickup,5,18,22,4,448
TOYOTA Tacoma D-CAB MT TRD-ORP/PRO,3.5,6,4WD,pickup,5,17,20,3,483
TOYOTA Tundra,3.4,6,2WD,pickup,5,20,24,5,410
TOYOTA Tundra,3.4,6,2WD,pickup,5,18,23,4,440
TOYOTA Tundra,3.4,6,2WD,pickup,5,18,24,4,441
TOYOTA Tundra,3.4,6,4WD,pickup,5,19,22,4,441
TOYOTA Tundra,3.4,6,4WD,pickup,5,17,22,4,460
TOYOTA Tundra,3.4,6,4WD,pickup,5,17,23,4,459
TOYOTA Tundra PRO,3.4,6,4WD,pickup,5,18,20,4,461
TOYOTA Venza,2.5,4,4WD,small SUV,7,40,37,8,228
VOLKSWAGEN Arteon,2,4,2WD,large car,5,24,34,6,318
VOLKSWAGEN Arteon 4Motion,2,4,4WD,large car,5,22,30,5,353
VOLKSWAGEN Atlas,2,4,2WD,small SUV,3,21,25,5,387
VOLKSWAGEN Atlas,3.6,6,2WD,small SUV,5,18,24,4,445
VOLKSWAGEN Atlas 4Motion,2,4,4WD,small SUV,3,20,24,5,411
VOLKSWAGEN Atlas 4Motion,3.6,6,4WD,small SUV,5,17,23,4,460
VOLKSWAGEN Atlas Cross Sport,2,4,2WD,small SUV,3,21,25,5,391
VOLKSWAGEN Atlas Cross Sport,3.6,6,2WD,small SUV,5,18,24,4,435
VOLKSWAGEN Atlas Cross Sport 4Motion,2,4,4WD,small SUV,3,20,24,5,406
VOLKSWAGEN Atlas Cross Sport 4Motion,3.6,6,4WD,small SUV,5,18,24,4,443
VOLKSWAGEN GLI,2,4,2WD,small car,7,26,36,6,297
VOLKSWAGEN GLI,2,4,2WD,small car,7,26,37,6,299
VOLKSWAGEN GTI,2,4,2WD,midsize car,5,25,34,6,312
VOLKSWAGEN GTI,2,4,2WD,midsize car,5,24,34,6,319
VOLKSWAGEN Golf-R,2,4,4WD,midsize car,5,23,30,5,343
VOLKSWAGEN Golf-R,2,4,4WD,midsize car,5,20,28,5,382
VOLKSWAGEN Jetta,1.5,4,2WD,small car,7,29,43,7,259
VOLKSWAGEN Jetta,1.5,4,2WD,small car,7,31,41,7,256
VOLKSWAGEN Jetta SE/SEL,1.5,4,2WD,small car,7,29,40,7,268
VOLKSWAGEN Passat,2,4,2WD,midsize car,7,24,36,6,315
VOLKSWAGEN Tiguan,2,4,2WD,small SUV,7,23,30,5,346
VOLKSWAGEN Tiguan 4Motion,2,4,4WD,small SUV,7,22,29,5,357
VOLKSWAGEN Tiguan R-Line 4Motion,2,4,4WD,small SUV,7,21,28,5,369
VOLVO S60 B5,2,4,2WD,small car,5,26,35,6,299
VOLVO S60 B5,2,4,4WD,small car,5,25,33,6,316
VOLVO S90 B6,2,4,4WD,midsize car,7,23,31,5,341
VOLVO V60CC T5,2,4,4WD,station wagon,5,22,31,5,355
VOLVO V90CC B6,2,4,4WD,station wagon,7,22,29,5,352
VOLVO XC40 T4,2,4,2WD,small SUV,5,23,32,5,340
VOLVO XC40 T5,2,4,4WD,small SUV,5,22,30,5,359
VOLVO XC60 B5,2,4,2WD,small SUV,5,23,30,5,345
VOLVO XC60 B5,2,4,4WD,small SUV,5,22,28,5,360
VOLVO XC60 B6,2,4,4WD,small SUV,7,21,27,5,373
VOLVO XC90 T5,2,4,2WD,standard SUV,5,21,30,5,361
VOLVO XC90 T5,2,4,4WD,standard SUV,5,20,28,5,380
VOLVO XC90 T6,2,4,4WD,standard SUV,7,19,27,5,405
